Date,Open,High,Low,Close,Total Trade Quantity
28-Nov-17,928,935.5,927.92,932.67,2545270
29-Nov-17,932.5,937.75,927.9,936.65,1637292
30-Nov-17,934.35,936.97,920,926.85,2898156
01-Dec-17,927.45,930,922.05,924.1,1929074
04-Dec-17,927.45,927.45,915.05,917.05,1820966
05-Dec-17,913,914.28,903.5,910.22,1946680
06-Dec-17,909.97,910.67,899.5,901.65,3197560
07-Dec-17,903.33,908.3,901.55,904.83,2115652
08-Dec-17,907,926.5,907,920.2,4478200
11-Dec-17,924,925.88,920,923.2,1599116
12-Dec-17,924.55,924.95,907.97,909.95,1205294
13-Dec-17,910.03,922.5,907.55,910.67,1453730
14-Dec-17,912,920,906,919.03,1841546
15-Dec-17,928,944,927.75,936.72,6225062
18-Dec-17,927.5,949.5,904.65,939.47,6148994
19-Dec-17,939.9,946.83,938.08,942.25,2476056
20-Dec-17,949.45,951.55,931.83,934.08,4671752
21-Dec-17,939.95,942.5,932.6,934.15,3427272
22-Dec-17,939.5,940,930.88,938.33,2235452
26-Dec-17,940.5,941.4,928.35,934.17,3392848
27-Dec-17,935.05,935.15,925.58,928.38,1744692
28-Dec-17,929.45,940.45,929,939.03,4350260
29-Dec-17,938.4,939.6,934.08,936.2,3172936
01-Jan-18,936.35,940.38,925.25,927.25,3290258
02-Jan-18,929.28,937.5,929.28,936.17,2388158
03-Jan-18,937.5,939.12,925.6,926.33,2265644
04-Jan-18,926.5,932.75,926.5,929.95,1186888
05-Jan-18,931.5,934.03,927.78,931.8,1435434
08-Jan-18,932.5,935.35,928.88,930.3,2285154
09-Jan-18,931,934.92,927.5,931.85,2652764
10-Jan-18,932.6,933.95,928.65,932.1,2307944
11-Jan-18,932.1,938,928.12,936.28,2029548
12-Jan-18,936.5,939.08,930,932.65,2168354
15-Jan-18,934.97,952.2,929.92,948.88,6288222
16-Jan-18,951.72,955,942.62,950.08,3222692
17-Jan-18,948.5,951.28,943.5,945.25,1452748
18-Jan-18,962,977,959.03,967.15,8324770
19-Jan-18,967.58,979.95,959.62,976.1,5727994
22-Jan-18,980,994,976.58,981.67,4424884
23-Jan-18,982.5,983.35,971.65,975.65,2523898
24-Jan-18,976.28,984.5,975.3,978.83,2395284
25-Jan-18,976.95,990,975.25,987.47,4361834
29-Jan-18,989,1003.47,989,999.83,4117946
30-Jan-18,998.9,1000.95,992.08,997.75,3198780
31-Jan-18,994.7,1006.75,993.5,1002.85,3471674
01-Feb-18,1003,1007.5,992.65,995.58,3260710
02-Feb-18,993,994.95,970.75,974,3673062
05-Feb-18,959,967.62,952.92,956.92,3963392
06-Feb-18,930,956,918.15,948.4,5374902
07-Feb-18,953.5,953.5,931.2,936.4,4182486
08-Feb-18,942,949.3,933.25,940.47,2585722
09-Feb-18,923.95,932.35,922.05,924.75,3204476
12-Feb-18,930,943,927.58,938.33,2190554
14-Feb-18,944.9,948.95,937.33,941.58,1788594
15-Feb-18,944.85,947.38,937.5,940.95,2457612
16-Feb-18,941.95,947.42,937.83,939.3,1791760
19-Feb-18,941.3,943.8,929.53,939.1,1827276
20-Feb-18,942.38,942.92,929.4,931.6,2042034
21-Feb-18,933.97,934.28,926.1,928.7,1376536
22-Feb-18,925,930,920.78,926.6,6626798
23-Feb-18,928.45,942.42,925.2,940.28,2038374
26-Feb-18,944.05,957.4,941.78,955.78,2394442
27-Feb-18,957.38,960.88,950,951.28,2393664
28-Feb-18,944.78,947.72,939,942.1,2033182
01-Mar-18,939.65,946.65,934,937.17,1954920
05-Mar-18,937.08,939,929.12,934.97,1890732
06-Mar-18,935,939.95,919.75,923.12,2288414
07-Mar-18,920,926.7,914.25,916.3,2814082
08-Mar-18,919.9,929.25,916,926.42,2759362
09-Mar-18,927.47,932.62,922,925.53,2054054
12-Mar-18,930.1,934.72,926.7,933.62,3278558
13-Mar-18,933.72,942.38,927.5,930.12,2562100
14-Mar-18,928,933.95,924,932.25,1840196
15-Mar-18,932.6,943.75,932.6,940.4,2935462
16-Mar-18,940,940.55,923.28,926.5,3948168
19-Mar-18,926.5,930,921.58,923.62,3919370
20-Mar-18,922.55,927.95,917.62,919.75,1828686
21-Mar-18,924,931.6,921.65,929.45,2960570
22-Mar-18,929.45,940,927.55,933.88,3336612
23-Mar-18,923.33,926.55,918.62,920.78,3595076
26-Mar-18,919.95,950,916.75,946.72,5250884
27-Mar-18,946.9,949.5,938,946.3,3068418
28-Mar-18,941.47,949.85,938.03,943.05,4418754
02-Apr-18,945.25,967.88,945.25,965.6,2298184
03-Apr-18,961.97,962.85,955.5,957.95,2039942
04-Apr-18,956.47,962.47,939.22,941.62,1857054
05-Apr-18,950.65,957,945.1,954.45,2429446
06-Apr-18,956.1,963.22,952.9,961.7,1860004
09-Apr-18,959.4,971,958.2,969.53,2001768
10-Apr-18,971.5,971.5,956.75,960.42,3033618
11-Apr-18,957.95,960,952.7,959.42,1435406
12-Apr-18,958,966.45,952.95,964.4,2356258
13-Apr-18,964,970,959.55,962.5,1648586
16-Apr-18,960,975,959.92,971.05,1423872
17-Apr-18,971.75,975.5,967.05,974.25,1333916
18-Apr-18,975.5,976.75,965.03,966.3,1356360
19-Apr-18,970,972.4,966.5,969.5,1584516
20-Apr-18,970.5,980.5,966.08,977.95,4680690
23-Apr-18,989.5,989.5,930.15,967.88,7652310
24-Apr-18,967.5,974.03,963,967.5,2518708
25-Apr-18,963.95,969,956,960.38,2010296
26-Apr-18,958.4,969.6,955.62,965.12,3923740
27-Apr-18,966.5,967.75,956.25,961.7,2888504
30-Apr-18,965,977.4,964.4,972.15,2304776
02-May-18,975,989,973,984.75,3550024
03-May-18,984.03,987.45,973,983.95,2076386
04-May-18,985,995,983.15,994.25,3440718
07-May-18,990.83,993.65,987.5,988.7,2632064
08-May-18,989.62,989.95,977.3,983.53,3550282
09-May-18,978.08,990.25,978.08,989.2,2163666
10-May-18,994.3,999.5,991,996.35,3585836
11-May-18,996.35,1008.5,993,1005.88,3028534
14-May-18,1008.6,1013.7,1006.2,1010.88,2371458
15-May-18,1013.53,1032.5,1013.35,1018.9,4913342
16-May-18,1015.28,1024.5,1008.58,1011.67,3420802
17-May-18,1011.92,1022.22,1006.25,1013.88,3307738
18-May-18,1012.35,1012.35,1001.75,1006.08,2608730
21-May-18,1008.05,1010.5,993.03,996.53,2424054
22-May-18,999.35,1006.97,992.75,994.95,1980186
23-May-18,993.9,997,981.7,983.75,2863146
24-May-18,983.55,995.12,978.17,993,2260372
25-May-18,995,1008,994.95,1004.35,2379794
28-May-18,1003.9,1026,1003,1021.1,2551970
29-May-18,1019,1026.35,1014.4,1016.3,1675622
30-May-18,1009.85,1026.5,1008.15,1024.18,2433498
31-May-18,1050,1080,1040,1069.72,19819596
01-Jun-18,1058,1069,1050.5,1055.3,10575678
04-Jun-18,1075,1078.5,1018.97,1023.1,44398162
05-Jun-18,1025,1033.47,1011.5,1031.8,8552730
06-Jun-18,1030.1,1032.4,1022.5,1028.68,4891000
07-Jun-18,1036.6,1039.9,1026.6,1031.1,5281948
08-Jun-18,1029.5,1030.62,1017.5,1024.68,3090444
11-Jun-18,1025.95,1031.47,1019.4,1021.15,3545594
12-Jun-18,1025.95,1026.35,1019.2,1021.92,2617128
13-Jun-18,1026,1027.4,1012.05,1015.72,3948980
14-Jun-18,1015,1022.5,1012.5,1018.7,8463788
15-Jun-18,1013,1019.45,1011.15,1014.8,5440408
18-Jun-18,1015.05,1019.4,1004.55,1009.58,3743702
19-Jun-18,1012.47,1020.35,1009.65,1011.75,5490576
20-Jun-18,1013,1029,1012.5,1028.07,4525856
21-Jun-18,1030,1035.4,1023.53,1028.8,6755352
22-Jun-18,1028.47,1044.4,1024.93,1041.68,3924490
25-Jun-18,1041.53,1048.9,1036.53,1047.47,3496168
26-Jun-18,1043.03,1051.5,1039.93,1046.85,4580966
27-Jun-18,1046.5,1059.75,1045,1056.3,9563402
28-Jun-18,1057.5,1070,1055.6,1065.43,18766770
29-Jun-18,1060.85,1070,1052.55,1054.22,9729060
02-Jul-18,1054.18,1054.2,1031.62,1036.62,4932438
03-Jul-18,1036.62,1042.5,1032.8,1035.1,3431550
04-Jul-18,1038.12,1054.03,1034.5,1051.78,3048996
05-Jul-18,1052.5,1064.5,1046.28,1061.88,4867984
06-Jul-18,1056.65,1067.78,1055.68,1057.57,4060672
09-Jul-18,1060.93,1065,1053.88,1062.82,3091148
10-Jul-18,1064.95,1074.8,1062.5,1073.2,5475368
11-Jul-18,1072.53,1077.85,1067.4,1074.12,2928960
12-Jul-18,1076.45,1089.93,1076,1082.97,4010334
13-Jul-18,1084.2,1095.4,1081.55,1090.45,3580594
16-Jul-18,1089.7,1095.03,1081.88,1084.43,4508668
17-Jul-18,1081.62,1090.5,1081.62,1088.38,3180962
18-Jul-18,1093.5,1110,1086.82,1088.1,8730136
19-Jul-18,1091.5,1096.75,1085.5,1093.05,2652388
20-Jul-18,1093.05,1101.43,1085.55,1094.53,5003482
23-Jul-18,1075,1089,1069.03,1078.22,8440066
24-Jul-18,1073.5,1084.5,1073.5,1079.88,2604396
25-Jul-18,1082.32,1088.4,1080,1085.18,3519308
26-Jul-18,1082.5,1101.72,1082.5,1096.3,10640546
27-Jul-18,1100.97,1105.97,1092.35,1101.07,5277298
30-Jul-18,1099.5,1099.5,1079.7,1084.95,3584560
31-Jul-18,1080,1092.95,1075.03,1089.75,4430472
01-Aug-18,1081.4,1087.5,1075.85,1079.35,3035780
02-Aug-18,1076.75,1076.85,1060.68,1065.1,4452852
03-Aug-18,1066.78,1073.53,1057,1060.82,6802004
06-Aug-18,1060.5,1068.7,1053.05,1057.15,2872316
07-Aug-18,1062.5,1067.25,1054,1065.45,3714228
08-Aug-18,1067.93,1075.9,1066.53,1068.18,4972690
09-Aug-18,1071,1071,1047.32,1059.25,4472204
10-Aug-18,1061.75,1061.9,1049,1057.22,2721470
13-Aug-18,1042,1051.97,1040,1045.82,5027126
14-Aug-18,1049,1052.5,1043.6,1044.55,2467982
16-Aug-18,1041.5,1043.35,1033.2,1037.85,5312580
17-Aug-18,1041.45,1046.53,1035.82,1038.68,3032664
20-Aug-18,1037.5,1053.8,1037.5,1048.1,3905568
21-Aug-18,1049,1056,1046.32,1048.03,3888160
23-Aug-18,1052.5,1053.5,1038.43,1039.95,6287276
24-Aug-18,1035.5,1046.8,1033.03,1034.93,4857314
27-Aug-18,1038.5,1044.25,1035.12,1040.22,6287394
28-Aug-18,1044,1049.12,1039.4,1047.43,4986766
29-Aug-18,1046.07,1047.03,1036.38,1039.25,4936846
30-Aug-18,1041.8,1043.95,1030.93,1033.05,10913730
31-Aug-18,1034.6,1039.38,1029.12,1030.6,7885750
03-Sep-18,1034.7,1039.47,1031.75,1037.53,3830804
04-Sep-18,1038.45,1038.97,1024.5,1025.9,3565268
05-Sep-18,1026.9,1030.1,1017.78,1022.92,2820754
06-Sep-18,1024.5,1029.5,1016.3,1026.1,5201206
07-Sep-18,1025.5,1030,1020.38,1028.47,2959650
10-Sep-18,1027.5,1027.5,1012.55,1020.58,4299296
11-Sep-18,1023.15,1024,997.08,1000.2,9093268
12-Sep-18,1000.95,1010.67,994.78,1005.92,6123004
14-Sep-18,1009.92,1018.7,1009.47,1014.8,5167336
17-Sep-18,1010.65,1011.47,994,996.1,4669110
18-Sep-18,997.45,1004.92,990.47,994.6,4662868
19-Sep-18,997.42,999,978.25,980.67,8356132
21-Sep-18,986.95,999.92,955.1,985.12,11305074
24-Sep-18,983.62,986.1,957.5,962.85,6695396
25-Sep-18,962.85,981,957.5,976.2,8341276
26-Sep-18,981.47,989,977.65,984.1,7363362
27-Sep-18,984.7,993,977.58,988.08,9176104
28-Sep-18,990.33,1007.72,988.58,1003.03,7230358
01-Oct-18,1004.9,1021,998.9,1017.72,6224794
03-Oct-18,1015.22,1026.1,1003.5,1015.58,7666074
04-Oct-18,1004,1008.9,971.5,978.88,8985292
05-Oct-18,976.97,995,970.08,982.65,7864590
08-Oct-18,982.5,984.5,965,972.5,10064010
09-Oct-18,972.2,982.5,965,970.3,6229682
10-Oct-18,972.5,991.12,967.75,983.58,7969966
11-Oct-18,962.5,974.15,958.8,968.78,7179952
12-Oct-18,972.5,998.55,971,990.92,4800160
15-Oct-18,995,1005.4,985.15,1004.03,6292984
16-Oct-18,1001.5,1009.1,993.75,996.38,4703002
17-Oct-18,1003.05,1006.5,981.75,987.3,3970398
19-Oct-18,979.45,990.42,979,983.88,4933674
22-Oct-18,1007,1010,994.3,999.45,10165580
23-Oct-18,986.5,999.45,986.5,992.42,9714282
24-Oct-18,1002,1004.4,986.3,996.12,9036168
25-Oct-18,986.8,1001.8,981.22,984.4,14923528
26-Oct-18,984.4,988.6,974.5,980.6,7577856
29-Oct-18,982.05,982.47,947.6,963.15,8522140
30-Oct-18,962.5,966,949.65,956.38,6914352
31-Oct-18,951.03,958.95,942.5,955.88,11724702
01-Nov-18,965,965,948,956.1,9814526
02-Nov-18,963,980,956,974.72,15046434
05-Nov-18,974.95,979.83,969,978,2852648
06-Nov-18,977.5,988,971.47,973.28,4242794
07-Nov-18,980.5,982.47,975,978.97,479380
09-Nov-18,979.1,979.95,968.15,972.7,5050810
12-Nov-18,975.75,981,958.58,960.53,3953882
13-Nov-18,959.5,968.85,954.1,963.88,6675210
14-Nov-18,969.28,980,968.3,978.88,13055318
15-Nov-18,980.95,988.65,965.6,987.58,5196262
16-Nov-18,990.5,1006.5,990,1002.15,7906608
19-Nov-18,1005.5,1010.5,1000.95,1006.95,6143214
20-Nov-18,1006.5,1009.8,999.53,1006.22,2852584
21-Nov-18,1006.38,1011.97,1002,1009.38,3272802
22-Nov-18,1006.62,1017.5,1000.08,1002.75,6487276
26-Nov-18,1006.95,1026,1006.03,1024.9,9092218
27-Nov-18,1020.53,1033.95,1020.38,1032,6447720
28-Nov-18,1032.5,1049.3,1030.05,1044.62,6510554
29-Nov-18,1050.5,1068.7,1047,1065.53,15954318
30-Nov-18,1065,1068.78,1055,1064.22,6520462
03-Dec-18,1065.5,1071,1053.45,1056.65,5399928
04-Dec-18,1052.7,1055.5,1039.3,1042.78,4078710
